<DTYYYYMMDD>,<Ticker>,<Open>,<High>,<Low>,<Close>,<Volume>
2021-01-04,VNM,82.6699,82.7453,82.1424,82.3751,2299600
2021-01-04,VSC,12.1054,12.3685,11.9519,12.369,237400
2021-01-04,VHM,67.0488,68.4487,66.2383,67.7913,3077500
2021-01-04,VCB,42.6594,43.4429,42.3547,43.0964,855900
2021-01-04,REE,22.9317,23.3714,22.7698,23.2795,659500
2021-01-04,PNJ,36.4142,36.6823,36.0121,36.5106,743400
2021-01-04,POW,11.4884,11.8603,11.3644,11.6539,13808900
2021-01-04,MSN,74.5108,74.5108,72.7913,72.7978,1915700
2021-01-04,MWG,52.9385,53.4258,52.8499,53.4259,1147400
2021-01-04,TCB,14.8032,15.4508,14.7569,15.2677,18607800
2021-01-04,HSG,12.2652,12.6937,12.1581,12.694,10424300
2021-01-04,CMG,16.2336,17.0026,16.2336,16.8337,233400
2021-01-04,FPT,25.4075,25.6633,25.2796,25.6666,2151300
2021-01-04,GMD,24.3837,25.1226,24.2359,24.4588,4226500
2021-01-04,HPG,15.8004,16.1766,15.6687,15.9171,15832600
2021-01-04,NLG,22.5792,22.9248,22.5024,22.8494,1146500
2021-01-04,SSI,13.976,14.0165,13.6924,13.6956,9011500
2021-01-04,HCM,11.7979,11.7979,11.4035,11.4754,4219300
2021-01-05,VSC,12.3905,12.3905,11.9519,12.369,64000
2021-01-05,VNM,82.8293,85.1872,82.449,84.281,4013900
2021-01-05,VCB,43.0947,43.7912,43.0947,43.227,739200
2021-01-05,VHM,67.6382,70.7328,67.4172,70.444,2853200
2021-01-05,TCB,15.1502,15.4277,15.0576,15.2909,14280100
2021-01-05,SSI,13.4696,13.8139,13.4088,13.6753,8624800
2021-01-05,REE,23.14,23.3714,23.0937,23.2333,362700
2021-01-05,POW,11.5297,11.9016,11.4884,11.7366,9595700
2021-01-05,PNJ,36.1908,36.5482,36.0121,36.3318,534700
2021-01-05,MSN,72.8732,73.692,72.1363,73.1254,1274800
2021-01-05,HCM,11.3318,11.5111,11.2959,11.332,4315200
2021-01-05,GMD,24.4576,25.4551,24.199,24.9761,4851900
2021-01-05,FPT,25.578,27.0701,25.4927,26.7325,2332200
2021-01-05,CMG,17.0026,17.1307,16.6608,16.7482,181500
2021-01-05,HPG,15.7252,16.1014,15.6875,15.9359,18634100
2021-01-05,NLG,22.6176,22.8864,22.6176,22.8878,1154300
2021-01-05,MWG,53.16,54.3118,52.9828,54.0018,967500
2021-01-05,HSG,12.7741,13.1758,12.6937,12.7476,7315100
2021-01-06,REE,23.2788,23.6028,22.9549,23.1407,456500
2021-01-06,VSC,12.2808,12.5001,12.1273,12.5006,352200
2021-01-06,VHM,71.1749,71.1749,69.4066,69.8545,2838200
2021-01-06,VNM,84.4266,84.6548,83.5139,83.5204,2823100
2021-01-06,VCB,43.3124,46.2289,43.2253,45.7083,2080400
2021-01-06,TCB,15.3583,15.7747,15.2427,15.3603,20222300
2021-01-06,SSI,13.8544,14.1582,13.3683,13.7766,10370000
2021-01-06,PNJ,36.6376,36.727,36.1908,36.2871,721900
2021-01-06,CMG,16.7676,16.789,16.2336,16.4491,118100
2021-01-06,MSN,73.1188,74.5108,72.0544,72.3065,2344400
2021-01-06,MWG,54.489,54.489,53.4701,53.736,995500
2021-01-06,NLG,22.9632,24.4608,22.9632,24.4623,2515300
2021-01-06,HCM,11.4752,11.7083,11.2959,11.332,4942500
2021-01-06,HPG,15.9885,16.2895,15.9133,16.1052,17948600
2021-01-06,HSG,12.9883,12.9883,12.6669,12.694,7086900
2021-01-06,FPT,26.8995,27.1127,26.5585,26.6046,1796000
2021-01-06,GMD,25.2704,25.2704,24.4576,24.6805,3641300
2021-01-06,POW,11.8603,11.9016,11.4057,11.4886,15814800
2021-01-07,TCB,15.6128,16.006,15.4508,16.008,16387200
2021-01-07,SSI,13.976,14.0165,13.5911,13.9387,13783700
2021-01-07,VCB,45.2712,47.2301,45.2712,46.5789,889000
2021-01-07,PNJ,36.2802,36.4589,36.1014,36.4659,582700
2021-01-07,VHM,69.8486,70.0697,68.8171,69.8545,2926400
2021-01-07,VSC,12.5001,12.5878,12.3905,12.4129,98500
2021-01-07,VNM,83.666,84.2745,83.5139,83.9768,2453000
2021-01-07,POW,11.4884,11.7363,11.2817,11.5713,18878300
2021-01-07,REE,23.0937,23.7416,23.0474,23.6035,624000
2021-01-07,MSN,72.3,75.739,72.3,75.3363,3028500
2021-01-07,FPT,26.6864,26.8143,26.388,26.6472,2150200
2021-01-07,HSG,12.6937,13.0686,12.6134,12.9083,7869000
2021-01-07,HPG,16.233,16.2518,15.8945,16.1052,21780700
2021-01-07,CMG,16.4472,16.5113,16.1054,16.2355,127600
2021-01-07,GMD,24.9009,25.4921,24.0143,25.1239,5753700
2021-01-07,NLG,24.4608,25.8816,24.0384,25.6528,1689500
2021-01-07,MWG,53.3815,53.6916,53.0271,53.5145,1118100
2021-01-07,HCM,11.5111,11.5828,11.2959,11.583,4028700
2021-01-08,REE,23.8342,23.8342,23.3714,23.7423,498200
2021-01-08,VSC,12.4124,12.9826,12.4124,12.7638,250200
2021-01-08,VHM,70.3644,71.3222,70.217,71.0334,2187200
2021-01-08,VNM,84.8069,85.8717,84.3505,85.1938,3323000
2021-01-08,VCB,47.0124,47.0124,45.4889,45.6212,963900
2021-01-08,SSI,14.138,14.138,13.5911,13.8374,11401100
2021-01-08,TCB,16.191,16.7693,16.1447,16.5169,16947900
2021-01-08,POW,11.7363,11.7363,11.4057,11.5299,17665900
2021-01-08,NLG,25.728,25.728,24.9984,25.3455,1062100
2021-01-08,MSN,76.1484,77.2947,75.3296,76.2371,2639600
2021-01-08,CMG,16.2336,16.4472,16.1909,16.2782,118300
2021-01-08,HSG,12.8544,13.2025,12.6937,12.9083,7975300
2021-01-08,HPG,16.139,16.2895,16.0261,16.0864,19978500
2021-01-08,PNJ,36.6376,37.0844,36.1014,36.8234,554000
2021-01-08,GMD,25.4182,25.7137,24.7532,25.05,4587500
2021-01-08,FPT,26.8569,27.1553,26.6864,26.9883,2720400
2021-01-08,MWG,53.5144,54.4447,53.5144,53.9575,1277600
2021-01-08,HCM,11.7262,11.9055,11.4752,11.6906,5783900
2021-01-11,REE,23.7416,23.973,23.6028,23.6961,614200
2021-01-11,VHM,72.2064,75.9641,71.9117,75.9704,4512700
2021-01-11,VNM,85.5675,88.2296,85.5675,88.1604,4603900
2021-01-11,VSC,12.7852,13.3115,12.7194,13.2901,148100
2021-01-11,VCB,45.5324,46.0112,45.3147,45.4906,847400
2021-01-11,TCB,16.538,16.7693,16.2835,16.3087,13980300
2021-01-11,SSI,13.8139,13.8544,13.3886,13.5943,13473300
2021-01-11,PNJ,37.0844,37.0844,36.727,36.9575,579000
2021-01-11,CMG,16.2763,17.088,16.2763,16.4491,173600
2021-01-11,MSN,76.3122,78.1954,76.3122,77.056,2553900
2021-01-11,MWG,54.046,55.9952,54.046,55.9067,1504500
2021-01-11,NLG,25.344,27.0336,25.2672,26.4208,2178100
2021-01-11,GMD,25.3443,25.3812,24.827,25.1978,4088600
2021-01-11,HCM,11.7262,11.78,11.3676,11.4395,6534600
2021-01-11,HPG,16.2142,16.2895,16.0261,16.1993,16645100
2021-01-11,HSG,12.9883,13.0954,12.7741,12.9083,4979700
2021-01-11,FPT,27.2406,27.5816,26.9848,27.5852,1972800
2021-01-11,POW,11.6537,12.1082,11.6123,12.0672,14990800
2021-01-12,SSI,13.4493,13.976,13.1658,13.8172,16390400
2021-01-12,TCB,16.191,16.4223,15.9597,16.2393,16418200
2021-01-12,VHM,77.2166,77.2903,75.9641,76.1915,2862600
2021-01-12,REE,23.6954,24.7598,23.6028,24.5754,1089900
2021-01-12,VNM,88.6099,88.762,87.7732,88.4646,2344900
2021-01-12,VSC,13.487,14.2106,13.3773,14.2112,180800
2021-01-12,VCB,45.9677,45.9677,45.3583,45.9695,634900
2021-01-12,PNJ,37.0397,37.0844,36.727,37.0469,561700
2021-01-12,CMG,16.3618,16.6181,16.2336,16.5773,157600
2021-01-12,MSN,77.0491,77.2128,76.2303,76.9741,1830900
2021-01-12,GMD,25.4551,26.859,25.4182,26.8604,7879300
2021-01-12,FPT,27.7095,28.1358,27.2832,28.0542,2435200
2021-01-12,HSG,12.908,13.5507,12.908,13.4439,9559800
2021-01-12,POW,12.1909,12.1909,11.8603,12.0672,10218500
2021-01-12,HCM,11.3318,11.6545,11.1883,11.583,6863400
2021-01-12,NLG,26.496,26.7264,25.728,26.1136,1055700
2021-01-12,MWG,55.9066,55.9952,55.3307,55.9067,1352600
2021-01-12,HPG,16.2518,16.8914,16.139,16.8954,22738800
2021-01-13,REE,24.7598,24.8986,24.297,24.6217,1066600
2021-01-13,VSC,14.9124,14.9124,14.5835,14.5841,130900
2021-01-13,VHM,76.6272,76.7009,73.3853,74.3493,2972500
2021-01-13,VNM,88.4578,89.1423,86.8605,87.0955,2521600
2021-01-13,VCB,45.9677,46.1853,45.2712,45.6212,1064200
2021-01-13,SSI,13.976,13.976,13.5303,13.574,9755200
2021-01-13,TCB,16.3992,16.6536,16.2373,16.2624,11399600
2021-01-13,PNJ,37.3078,37.4418,36.9504,36.9575,448100
2021-01-13,POW,12.0669,12.0669,11.7363,11.7366,12927200
2021-01-13,MSN,77.131,77.2128,75.9028,76.4009,2553600
2021-01-13,GMD,27.3393,27.561,26.2679,26.5278,5334400
2021-01-13,FPT,28.0932,28.7326,28.0932,28.3527,2612000
2021-01-13,HSG,13.6578,13.6578,13.3097,13.5242,5919200
2021-01-13,CMG,16.5754,16.5754,16.2336,16.2782,124600
2021-01-13,HCM,11.5828,11.5828,11.3856,11.4216,4458300
2021-01-13,NLG,25.9584,25.9968,24.8832,25.3455,2259200
